path,tracked,pre_batch_hash,current_hash,file_bytes,file_count,reason,owner,required_by_pipeline,safe_to_ignore,must_preserve,move_to_isolated_evidence,note
reports/C01_carla_runtime_audit.json,False,,37eb4039b4127baa4bf583fb99e4648f45427ee9bfb979d1a84fa4cf9e81c03a,1636,,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/C01_carla_runtime_audit.md,False,,f5f5cae53c63b0145cdc82fcad0cd267403190c24a1c71eca7b1fc2e1c285088,2776,,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/R01_final_integration_gate.md,False,,b70f1fb3ba0fdda94a41542ed19aa20bf41727372f8cb2c219f39548af17f3e7,2674,,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/claude_independent_governance_review/,False,,b618d6b225ea61cf4fa23d2dcb418a612504ad2c22c3faa26b8deb0775761a3f,,16,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/codex55_safety/,False,,d89fab4b7c14e473582f87bdbbbe3ec452edf6195f541eaf9ba8ed9d01d444f2,,18,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/deepseek_governance_inventory/,False,,38f25b1c7404a89aadd378f6494b37a609cdc8afd04b56d28eac2de5a3cc32f3,,8,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/delta_base_verification/,False,,e83b43c81eefa262e6e833b0278f2eab467b70b1f9925bda60819abe90a47145,,8,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/opencode_batch_20260802/14B_CLOSURE_CHECK/,False,,25cabd61ebcbbbc0d6e3bd5603aebb7e76d7aecfa099db7cecd7108098d2af9c,,4,evidence reports (audit hardening + batch),evidence,False,False,True,True,
reports/source_visual_closure/,False,,e94fddd1e7cfca1c7a8c5453d62f706fd586840431ae924ae1b90bb80358f3dd,,14,evidence reports (audit hardening + batch),evidence,False,False,True,True,
ultimate_pipeline/analysis/,False,,12cba764eef8d6a2c657168cc8bb55bfd4a0bc612dbb58fd1eebf37687c1d617,,10,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/augmentation/,False,,b2386cc9bc0d798a2511f6295dfb47c9081203940509c4841e5a07e127520714,,2,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/bootstrap_repo_root.py,False,,93222f4361cba0e878a40458d6ea94e944a15f595026194942d70795f4bbfe07,335,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/actor_stream_manager.py,False,,b10b8712b421634e88b717212cc7e132f5f2d06252b2cb201279e164abcf543d,8640,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_final_check.py,False,,02e0caa1a06883dac7d22a55b756dd8de143c6762745c9f61cc43416cc9c19d6,15704,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_final_test.py,False,,033baf5c308fefe35095bb8360318e1ece43dc56c57ec815cc5e6e4dd866e005,13869,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_probe_port.py,False,,376195421af3cd2b2c3399f06720e7bcf460e202068c210925efd5bfcd16bf8e,211,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_readiness.py,False,,ade6707d8eb2274411b9d6a1ca2416185898aa6ead76d175b9bab461ee6130b9,9707,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_recovery.py,False,,3ff03f7708d4b38fe1e38641b633fc86c713ac114d1ef554448f3b8a8b321877,12030,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_server.py,False,,59465280523580fd2bf49f173b734538199e6966fcb7a59dae774b8d17f3491e,8134,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/carla_sim_consolidated.py,False,,e1561d9e8339c3a0940cef62759425dbfdb45f4d49bc1501e771ef1c6db798d7,18270,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/check_opendrive_determinism.py,False,,a64c6e989542f2e714ff9aa641e181039980db64acfe7ff9cfff94eb45144de6,3843,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/evaluate_generated_map.py,False,,564f51cd0aca494be7ca2d184f3438fc6e475c279ff0bb953ff80c11f7758a4d,9658,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/fixed_traffic_manager.py,False,,9016cb8fd70a9e0ea86c5af3c4e211e362a95dc05b9dbd9ea59a945c42d1fbef,9162,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/local_perception_runner.py,False,,e461d574d94092e3380ce4e4286eb4c64dbb70153a3ac2b62bc27cab23be4b72,25693,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/map_loader.py,False,,06d0d57dec049ff0dd69246a7385979260d6eb8b903d629c1f08906f853e9381,949,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/map_registry.py,False,,0a8e7fefe43deea815db7d153f892f2805a2413d35f2daf75a56ea7cffcfc568,14443,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/mesh_streamer.py,False,,a5e7ed99206fdc3a47dceaca1e4865fc3f464abd4acb28c9f2fd310b62e51d59,4032,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/perception_runner_hpc.py,False,,3ccc8a91962e49a9bccc57c7c04ca43dd75b4e91c3d08ebdc0c660dd69374fa8,3885,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/perception_runner_local.py,False,,e93baaa5b2bdf800407cd4eb4f5e970a8693705dbda3eb78d2d4235f06f2939c,561,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/qa_tile_spawn_probe.py,False,,ae2046dc2c4926dee4047c7da85039058f1236be74900afcc14544482694a870,9646,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/reload_ready_for_sensors.py,False,,fc57af3fad00ea345b3e88fd31a203ab1e4c0bdc6e2605e89deb172affcb2a08,4830,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/road_defect_detector.py,False,,20c8902ce0f84a7b9a0db5283e56b85d01eaea3b0b342d312696286484c1317b,8697,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/runtime_enrichments.py,False,,fcc0de019a1581772887fe51461c4918cc18e7a0458a123f6acda7527234afe2,14809,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/safe_spawn_ego.py,False,,1db2661478386f7f9dacc54b93be5cd3469ee28b1efaa871b79a23bd4dc712ea,4131,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/screenshot_generator.py,False,,a16c222dec59e1511e319884fb50fec8023be0160b637b30ad8fa0f3cff569b9,7616,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/sensor_rig.py,False,,d08af8eea81f3715384cbc85d1682fd84e3818d86be66a9ddf2172d5ad1f4617,7139,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/spawn_enrichments.py,False,,c3960d9baf9d332832acf38122fa992b1b640dff760324f92ceabd6bd3bb4df9,14118,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/spawn_hardening.py,False,,0527cfb4e671c36ef2fa5efa372f896bcc52ae92d15ea8a68f347106900188c2,825,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/spawn_recovery.py,False,,92b5487ed5f382d89d71659eeb90fa350f19ff1d1c79cdb8676762b1f67f23af,4149,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/spawn_validator.py,False,,f812d46d501f267b53a5fd3c05567bcccc265ed8aeb986ef174f26f510eb0d08,1969,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/tests/,False,,8a22aa31e727b7652d723b547a58ff5bdadf91ae62962a49846a0983806f1d56,,5,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/carla_tools/thesis_sensor_rig.py,False,,422f41a24215b4ab587564567a5aaead5b0ace2cf50a6ca5da227a0549945794,72965,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/tile_qa_suite.py,False,,f4a93bb64511c6da8e213598d213a10200d7aa1dfecb6ac56e83dc091e29ef75,7541,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/tile_streamer.py,False,,612616c00db93312f54f9dbbabf43cc7004159eaa74c85dc8f38e46b4a9519d7,13719,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/tile_world_runner.py,False,,b341f46248612e63182ce26b6a85199e87e5dc028c3aca24742bb24a7b57db7c,5445,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/carla_tools/vehicle_manager/,False,,948ade99cd8d2e5d7a6e39d40c9959a0d73cffa1c6817c99481ebacc45023633,,12,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/carla_tools/weather_controller.py,False,,7dd6da9f66ad20fb131ed72430f557ed6a089a3ef250d26ad3ca5a198d7029e8,3701,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/config/paths.py,False,,f9ea6bdf57e4f673e1a1af7e86a9637606c330c6f3be30d360c6df52a9add7ff,253,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/config/runtime.py,False,,097039b9eb3488254e10d941a16a27ae73aa36e3f9da04fa33cef1bbde601a8e,812,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/config/thesis_contract.py,False,,46ff86a5138abe15318790f3c8fa4c84b87b24c66f61aaa696eeffca465c9591,14376,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/carla_opendrive_loader.py,False,,cc03fe57ea37fbd789c364bc0ebadf500ea97fbef70a1c9376dbd52783f7bf60,14196,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/carla_preflight.py,False,,95a43fe200c156e3dfb2458676772a49f965f819d5820ccefb417b6fd03bb38d,11500,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/carla_utils.py,False,,22df2bb5d5fb353efb97f2b5d3d018f6a4d1cd6daa37182d14579a347bde0a44,21179,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/crash_classifier.py,False,,9bff442a43ffc266b9b8c67b155dc6beba10a133301724d220525170f0643be8,4108,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/determinism.py,False,,a75887dcfd5d1d56274372476fc2f65d9ac076afd2a07afdcf75d5f4276643ba,646,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/file_utils.py,False,,944a4560c59ec6b97b813707a47c4af3949a92495cbca8e511186911a8233c9d,1004,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/odr_io.py,False,,40f9457592760bc2a525d61dcbc3f8b353e5aa7a37c6b8c393d4f55de6c87f69,10384,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/return_codes.py,False,,b5c16018f9e3c727de0781c5d0c6211060c36c584995b8149c49341c73424763,299,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/run_manifest.py,False,,025459a8c317edfe3878b347f874d0a9b3e7d9a99e4f1d895a84e92d1114eecc,4422,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/s_invariants.py,False,,baa20f4ec3b4472cbd72ac273b0304b623c6ebd765b1b4fb2817143a7c2f1c79,9656,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/tile_failure_monitor.py,False,,70ac7fcba50950c9b8dc3e4a22cb634e8e3b82ccfdee6b8195e547d13ac10d75,2726,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/validation_report.py,False,,917bd8fbd0feceb6ced135641eaf04fdeee081ea000361d6f36e964649bd2b9d,4658,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/xodr_hash_gate.py,False,,06d34986bceded15f2807bf19eb549a5fe7fb6042c93b9814bb7e9932ef41adc,3384,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/xodr_lightener.py,False,,2d8a10866f6a58f3734f947531c5690fb83665d1cd79a70ad7457466e1530384,2320,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/core/xodr_statistics.py,False,,d7bbf46c92b65ece725b5fbb3c4f24d6b9f89eeb5fb7b3ad04f8362d1f5391bf,9029,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/debug/,False,,2c4580525df021f07074414b81cdafdf1da5258da3b13d0fd0e9ea9ebf6d5f2e,,12,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/dem/dem_auto_downloader.py,False,,b0e9975e182a3d7c652c5697802ca55135b51c85b48425e8c50b294caa57ca72,8654,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/dem/dem_diagnostics.py,False,,7145b70419825743b8bd1bb6ed44bd7bc66ee8377d3e45a47ac23d66518708bf,2945,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/determinism/,False,,22aad5cf9aceaeb6202f1430433a024e5de204c5d234917ab7b6fa18918ff1cb,,4,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/diagnostics/autopilot_check.py,False,,3512665e76a88bc95b98a8b6bb900dc73464b9f64dcc83548812afeaf5b4fab9,3633,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/autopilot_test.py,False,,8f944f94368472d457c09f3e2f4b64bca3ed198b59de6a15a55289f75ee2bc63,3715,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/carla_quick_load.py,False,,7c0c8340084715c53dc39835bd2a526df4fc4d00f0320d7a7631b0dd8cbbfe4f,6704,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/check_carla_session.py,False,,20590eaf16066a45d8d392d83becebb63853f9caca2918b588a6fbfa20827abc,1316,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/continuity_diff_anim.py,False,,51bc2907226555fe4eb4f8d65fc3834374e9a10be0a6460347b049c465654500,1331,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/continuity_heatmap.py,False,,8feeb150d48c8baa6ef2cbdca694775a7bff73e0e1ee1dc516e3710bb1c5a6d5,2717,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/continuity_metrics.py,False,,eb204fdcb30bc397a1551d2375a0179b69a8505bcae95d3bb95097160cf2aa22,1701,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/continuity_summary.py,False,,4150861dc81e5b939a7afa00ba5e58534bdc7b097e42c8414e8958d3bfe30606,5440,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/dataset_quick_audit.py,False,,4f215986b380bfbd312d49701e6ef09305667aa26b420826b87c5bdb89456bdb,2601,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/elevation_summary.py,False,,ecff445c776e67285355db8f1ae4f5c00b625d62bcff223d099f9f2ab82bb5a6,4203,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/lane_debugger.py,False,,103ea79a310230c46315893bd60be1ea399ce8717753741921f43150ad7ae383,1160,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/mesh_checker.py,False,,e8a58cadd9327c22199def57faf404b956466eb6d01e22b500733c731cd8f95e,1893,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/pipeline_diagnostics.py,False,,686551040706367f5f06c3cb8be1e7131e5c6280980d6d733cc6266ac9dc8e5b,1274,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/system_integrity_checker.py,False,,04fb2308aa868acdb810b7ced2029d91a41be2f1cc5a9264d80149514a06f27e,6201,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/tile_forensics.py,False,,de512acbe73285cf50a1a1b0ee71fd3776327414947008e3985712f76b979f52,7203,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/validate_manual_maps.py,False,,32eb246de316818c03f0bf92dec45df0871b976b71e293631a01f7fc75e75bcd,6451,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/xodr_cropper.py,False,,34b3cab9e5025b2607d320442f1d8e7b0a77b19682df279341d331ee7573e970,1412,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/diagnostics/xodr_cropper_gps.py,False,,e9db116371ef5624ad3e7d8192c4199287b65db81e0516e3dc198c9a52c8a9bc,19080,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/adaptation/,False,,29a124cefccbd2ada6ffd914543b7baf57d94455b96a6e763e02af824a5cee3e,,8,unclassified dev artifact,dev,False,False,True,False,
ultimate_pipeline/domain_gap/connectivity_gap.py,False,,3a0b40e4386f01e22ddb33682d6c895476a78c7d9d226ceae1f7e6bb0f209aa2,19296,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/deterministic_alignment.py,False,,a6cdd7aba13f5f07d4fafcd5eb52bd597b7cc684b0247352f8755eecc9deb2f2,6990,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/domain_gap_prep.py,False,,deefc488672ad63a28f783e5f56382201ee9ae27d09067aa5a9ccaf21adb4dc6,4774,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/domain_gap_stats.py,False,,b22daef6ff8f611941da7acfbfb518b1b68aacf7c6b8f494f3c2ff3b64a06cd9,14808,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/experiment_logger.py,False,,c2ef1342e5ed47be4ac535e3cd9afce7e464bb4971af05133b05fa236e2d7146,4954,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/fast_eval.py,False,,08852710e33a08931b62923ef559c908bc5608cd8f75ac725ad6fafb77b2ba14,6323,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/feature_gap.py,False,,685818a74fc033853560f570f39c36892cf4b78cf62825d515037ecc584f0f81,4943,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/gap_analyzer.py,False,,98714cbc6c9153d48687e7b94bb86d67a22058066312738e0914f493d1e7d69f,6922,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/geometry_gap.py,False,,343430c5c2343677e817359bcbf726f36b0e2904cb69badf3342aba7a1d45b03,9823,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/intersection_classifier.py,False,,b65b9e76c9ca4a1f100b5a4b7d1f0bdebe423aa25d33c540805cab9d0ad724c0,3833,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/intersection_gap.py,False,,aef182944e69a99291fe66ba84ad3cd18f14cb00cc56250faad442769bbb2118,3916,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/junction_complexity_gap.py,False,,7dff9e50d0bb42f8199280bc8f1a9cb8a9eba6adecda83cb052b890cd6ca23b0,3931,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/manual_vs_auto_comparator.py,False,,eef5f34675b6665f12622a8cb9377d25bbe7149ee4f86816e478ce292e006bba,2278,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/map_stats_osm.py,False,,8171ffa2053aca487b71d737cb19c7a3873b3b18cf4dbfa4f4888bd7c14829e5,6016,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/map_stats_xodr.py,False,,9d008f763a0db3ed65f54de3878d72769414d6dfa4585d374a48eade45c1e9f2,6840,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/object_density_gap.py,False,,8f7f8bfc6827689ea63d100b2741ba436e13409c19ba8fc1058224093f14909f,4549,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/osm_loader.py,False,,52b4d2d30413adfedebf3c3d5e81e2a5db3d888a954780e6df48ca4935a17d4a,3793,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/per_tile_gap.py,False,,8210bad031c0b7a4b187bae57d4f1e504e78cee6c4307fe8ab93aee1c05987d6,4195,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/perception_gap.py,False,,88ac13b18eb4dcbdb30e3bf06653a5cccfe74934540b01c2acef0a227830302c,8423,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/perception_gap_feature_proxy.py,False,,e73c1107f8839364d2fa91212ad591981c65cadf9b274d4e7e3218e2df2b0f49,2955,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/perception_plots.py,False,,8629b223fe7fada5fb2ff52e58fc0ec591379531620b2d548499e648e1780be8,5650,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/qms.py,False,,d4afee4744687bba6fb497b4cb204703331ecfda79501b8d45992b5e4881679b,2955,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/report_aggregator.py,False,,b0612da37aa9ce04035e9e492e9d1c58a10abd9ec8384f1840cfb82cf2ae6206,5324,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/report_writer.py,False,,391a6c09cfd850407b2526964e02a7d59866e2ee0db65fac2eb40c2a06ff852d,1028,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/road_classification_gap.py,False,,ccf4d9ca53a293ab352efacd4dcf9305f55f46bee6a8e6793a180ed401083452,4537,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/run_alignment_and_matching.py,False,,bb88bf8e6b0d3002a7a3827db3fe87023617defd004e1dc60b34f6ee1455086f,7684,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/run_domain_gap_sweep.py,False,,a8bf3972e3322bfa2c2f21c12546066581defa238cff916727dcf6e0ae430ad2,5353,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/run_gap_ablation_experiment.py,False,,e21e87d38e1d9a245eaf81717a790b6d5874e64b775b7cae2cf7930023c472b6,3837,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/semantic_gap.py,False,,7e824d97cca9d8c8d09768db5d3ca51ba5733a3a8f91fd9016bd71d3d860f71e,4220,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/structural_gap.py,False,,87c7f1a0c688b8ac3d7c0df1d7067910958785356aed6e4dfb2d6b93b2a36341,3665,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/tests/test_run_metadata.py,False,,46cf2d947cdbf186bb5f7ea55b6d12f6d104f412283d96b447f45acc56f68046,3808,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/tile_gap_evaluator.py,False,,f37a0492835b491cb958f7db331b012512cbdefc6c8a82865623e00e293c3552,8401,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/tile_gap_heatmap.py,False,,1d0be60844078940259326a29d27f3ff764ed538a7f04f50af5ce8b294d2b908,4388,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/tile_grid_meta.py,False,,c3742c8271ead7c493af46f30e797b6c1b324845b39e9d49dc92fa7aed9c290d,6591,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/tile_matcher.py,False,,00a25933c8b0243555b9a9df72f5a982cec361747e5297bdf420607ba41319a0,18516,,root-level dev artifact (script/report),dev,False,False,True,False,
ultimate_pipeline/domain_gap/tile_perception_gap.py,False,,f4cec703efa0cad1f0b67139880fb4d27b7087e1beebe63ad577501f680ba852,3846,,root-level dev artifact (script/report),dev,False,False,True,False,
